Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
IPP	KLHL27	ENSG00000197429	Intracisternal A particle-promoted polypeptide	1	45694324-45750650	Plasma proteins, Predicted intracellular proteins	Evidence at protein level						Renal cancer:1.11e-4 (favourable), Liver cancer:2.27e-4 (unfavourable), Colorectal cancer:9.11e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 19.8	Mixed		
CXCL13	ANGIE, ANGIE2, BCA-1, BLC, BLR1L, SCYB13	ENSG00000156234	C-X-C motif chemokine ligand 13	4	77511753-77611834	Cancer-related genes, Predicted secreted proteins	Evidence at protein level	HPA052613	Uncertain				Renal cancer:1.16e-10 (unfavourable), Ovarian cancer:5.41e-4 (favourable), Endometrial cancer:5.52e-4 (favourable), Colorectal cancer:9.12e-4 (favourable)	Expressed in all	Group enriched	7	appendix: 163.3;lymph node: 599.9;spleen: 423.8;tonsil: 395.7	urinary bladder: 57.9	Cell line enhanced		U-266/70: 1.0
PAPSS1	ATPSK1, PAPSS	ENSG00000138801	3'-phosphoadenosine 5'-phosphosulfate synthase 1	4	107590276-107720452	Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA049781	Approved		Approved	Nucleus<br>Nucleoli	Liver cancer:2.70e-5 (unfavourable), Endometrial cancer:8.58e-4 (favourable), Colorectal cancer:9.14e-4 (favourable)	Expressed in all	Expressed in all			endometrium: 73.7	Expressed in all		
DENND6A	AFI1A, FAM116A, FLJ34969	ENSG00000174839	DENN domain containing 6A	3	57625457-57693089	Predicted intracellular proteins	Evidence at protein level	HPA062618, HPA069725, HPA071711	Approved		Supported	Vesicles	Renal cancer:7.77e-6 (favourable), Liver cancer:6.36e-4 (unfavourable), Colorectal cancer:9.21e-4 (favourable)	Expressed in all	Expressed in all			ovary: 25.6	Expressed in all		
ELP3	FLJ10422, KAT9	ENSG00000134014	Elongator acetyltransferase complex subunit 3	8	28089673-28191156	Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA025812	Uncertain				Renal cancer:1.31e-5 (favourable), Colorectal cancer:9.25e-4 (favourable)	Expressed in all	Expressed in all			cervix, uterine: 37.6	Expressed in all		
SPCS1	HSPC033, SPC1, SPC12, YJR010C-A	ENSG00000114902	Signal peptidase complex subunit 1	3	52704955-52711146	Predicted membrane proteins	Evidence at protein level	HPA046091, HPA055273	Supported		Approved	Golgi apparatus<br>Vesicles	Renal cancer:2.90e-4 (favourable), Colorectal cancer:9.28e-4 (favourable)	Expressed in all	Expressed in all			testis: 216.1	Expressed in all		
DENND2A	FAM31D, KIAA1277	ENSG00000146966	DENN domain containing 2A	7	140518420-140673993	Predicted intracellular proteins	Evidence at protein level						Renal cancer:3.05e-6 (unfavourable), Glioma:4.97e-4 (unfavourable), Colorectal cancer:9.35e-4 (favourable)	Tissue enriched	Mixed			endometrium: 31.6	Cell line enhanced		AF22: 53.5;BJ hTERT+: 42.3;RPTEC TERT1: 51.1;U-2197: 29.5
BIRC3	API2, c-IAP2, cIAP2, hiap-1, MALT2, MIHC, RNF49	ENSG00000023445	Baculoviral IAP repeat containing 3	11	102317450-102339403	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA002317	Enhanced	Approved	Supported	Nucleoplasm<br>Cytosol	Renal cancer:6.66e-6 (unfavourable), Pancreatic cancer:3.03e-4 (unfavourable), Breast cancer:3.60e-4 (favourable), Colorectal cancer:9.35e-4 (favourable)	Expressed in all	Tissue enhanced		lymph node: 138.1	appendix: 117.5	Cell line enhanced		CAPAN-2: 106.1;Daudi: 77.5;HDLM-2: 96.2;hTERT-HME1: 79.1
ACOT11	BFIT, BFIT1, KIAA0707, STARD14, THEA, THEM1	ENSG00000162390	Acyl-CoA thioesterase 11	1	54542257-54639192	Predicted intracellular proteins	Evidence at protein level	HPA041047	Enhanced		Supported	Cytosol	Renal cancer:3.07e-8 (favourable), Colorectal cancer:9.37e-4 (favourable)	Mixed	Mixed			duodenum: 36.4	Cell line enhanced		RT4: 32.0
DDX52	ROK1	ENSG00000278053	DExD-box helicase 52	17	37609739-37643464	Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA056173	Uncertain		Supported	Nucleus<br>Nucleoli	Liver cancer:2.44e-6 (unfavourable), Colorectal cancer:9.41e-4 (favourable)	Expressed in all	Mixed			epididymis: 4.6	Mixed		
GBP5		ENSG00000154451	Guanylate binding protein 5	1	89258950-89272804	Predicted intracellular proteins	Evidence at protein level	HPA028656	Approved		Approved	Endoplasmic reticulum	Renal cancer:5.53e-8 (unfavourable), Endometrial cancer:3.73e-6 (favourable), Ovarian cancer:1.24e-4 (favourable), Colorectal cancer:9.54e-4 (favourable)	Expressed in all	Tissue enhanced		appendix: 100.5	lymph node: 60.4	Cell line enhanced		NB-4: 6.3;U-266/70: 15.8;U-937: 24.8
CDCA2	PPP1R81, Repo-Man	ENSG00000184661	Cell division cycle associated 2	8	25458997-25507920	Predicted intracellular proteins	Evidence at protein level	HPA026293, HPA030049	Approved		Enhanced	Nucleoplasm	Renal cancer:2.30e-14 (unfavourable), Colorectal cancer:9.62e-4 (favourable)	Mixed	Tissue enriched	6	testis: 31.4	lymph node: 5.4	Mixed		
LCORL	FLJ30696, MLR1	ENSG00000178177	Ligand dependent nuclear receptor corepressor like	4	17841199-18021876	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA028794, HPA028795, HPA060033	Uncertain		Supported	Nucleoplasm<br>Nuclear membrane	Colorectal cancer:9.65e-4 (favourable)	Expressed in all	Mixed			testis: 12.1	Expressed in all		
ATG7	APG7L, DKFZp434N0735, GSA7	ENSG00000197548	Autophagy related 7	3	11272309-11557665	Predicted intracellular proteins	Evidence at protein level	HPA007639, CAB018771	Supported		Supported	Nucleoplasm<br>Plasma membrane<br>Cytosol	Liver cancer:1.41e-4 (unfavourable), Renal cancer:9.55e-4 (favourable), Colorectal cancer:9.66e-4 (favourable)	Expressed in all	Expressed in all			testis: 40.7	Expressed in all		
NOX1	GP91-2, MOX1, NOH-1, NOH1	ENSG00000007952	NADPH oxidase 1	X	100843324-100874345	Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level						Colorectal cancer:9.71e-4 (favourable)	Tissue enriched	Group enriched	17	colon: 58.7;rectum: 79.9	appendix: 3.9	Cell line enriched	19	CACO-2: 25.5
EID2	CRI2, EID-2, MGC20452	ENSG00000176396	EP300 interacting inhibitor of differentiation 2	19	39538705-39540333	Predicted intracellular proteins	Evidence at protein level	HPA045477	Uncertain		Supported	Nucleoplasm	Prostate cancer:8.74e-4 (unfavourable), Colorectal cancer:9.73e-4 (favourable)	Expressed in all	Expressed in all			cerebral cortex: 26.3	Expressed in all		
COG2	LDLC	ENSG00000135775	Component of oligomeric golgi complex 2	1	230642489-230693982	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA076994			Approved	Golgi apparatus	Colorectal cancer:9.76e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 77.2	Expressed in all		
ATG4C	APG4C, AUTL1, AUTL3, FLJ14867	ENSG00000125703	Autophagy related 4C cysteine peptidase	1	62784135-62865513	Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA007049	Approved		Approved	Nucleoplasm<br>Cytosol	Colorectal cancer:9.83e-4 (favourable)	Expressed in all	Expressed in all			cerebral cortex: 23.5	Expressed in all		
ATP5G3		ENSG00000154518	ATP synthase, H+ transporting, mitochondrial Fo complex subunit C3 (subunit 9)	2	175176258-175184607	Predicted membrane proteins	Evidence at transcript level						Renal cancer:2.31e-6 (favourable), Head and neck cancer:6.01e-4 (unfavourable), Colorectal cancer:9.90e-4 (favourable)	Expressed in all	Expressed in all			heart muscle: 534.0	Expressed in all		
PEX26	FLJ20695	ENSG00000215193	Peroxisomal biogenesis factor 26	22	18077920-18131138	Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	CAB070429	Approved				Renal cancer:1.38e-4 (favourable), Liver cancer:3.10e-4 (unfavourable), Colorectal cancer:9.92e-4 (favourable)	Expressed in all	Expressed in all			small intestine: 34.1	Expressed in all		
HENMT1	C1orf59, FLJ30525, HEN1	ENSG00000162639	HEN1 methyltransferase homolog 1	1	108648290-108661526	Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA028464, HPA028497	Uncertain		Approved	Plasma membrane<br>Focal adhesion sites	Renal cancer:2.48e-5 (unfavourable), Cervical cancer:2.56e-4 (favourable), Colorectal cancer:9.95e-4 (favourable)	Expressed in all	Tissue enriched	9	testis: 128.3	lymph node: 14.8	Cell line enhanced		U-937: 75.4
